EMP. CODE,GENDER,MARITAL STATUS,DATE OF BIRTH,AGE,EXPERIENCE others,Experience IN ATAEIL,Total Experience,DATE_OF JOINING,GRADE,DEPARTMENT,DVISION,JOINING CTC,CURRENT CTC, WORKING STATUS,Satisfaction Level,Employer Appreciation,Job Involvement,Distance From Home,Number of Companies Worked,Percent Salary Hike,Training Times Last Year (In Hrs),Year Since Last Promotion,Average monthly hours
243,1,1,31833,31,1.5,4.84,6.34,41204,3,7,1,22723,46816,1,3.2,1.8,4,17,1,36,12,0,209.25
245,1,2,30493,34,7,4.76,11.76,41233,1,7,4,,40000,2,2.5,3.1,3.3,12,1,6,5,0,200
248,2,2,32286,29,4.4,4.72,9.12,41246,2,1,4,15490,16605,2,2.5,3.1,3.3,9,0,8,6,0,200
249,2,2,32714,28,7,4.72,11.72,41246,1,1,4,,18000,2,2.5,3.1,3.3,5,1,9,7,0,200
251,1,1,32077,30,5,4.73,9.73,41244,1,12,4,9188,13898,1,5,5,5,16,2,22,0,0,215.4375
252,1,1,31908,30,3,4.64,7.64,41275,1,5,1,,19000,2,2.5,3.1,3.3,5,0,5,4,0,200
256,1,2,31520,31,6,4.59,10.59,41293,1,20,5,,20000,2,2.5,3.1,3.3,5,0,5,4,0,200
258,1,1,32296,29,2.4,4.53,6.93,41316,3,7,1,22101,23598,1,3,3.8,5,5,2,33,14,0,205.3125
259,1,1,32524,29,0.9,4.51,5.41,41324,1,28,9,,11436,2,2.5,3.1,3.3,5,0,5,4,0,200
261,1,2,29176,38,6.2,4.49,10.69,41330,3,12,1,17612,17980,1,3.5,3.3,3.9,5,3,28,8,0,204.75
267,1,1,30812,33,2,4.45,6.45,41345,2,7,1,19855,19313,1,3,3.4,4,15,1,30,14,0,205.875
272,1,1,31217,32,11,4.43,15.43,41352,2,24,1,19167,21541,2,2.5,3.1,3.3,5,0,5,4,0,200
